Dataset,Discovery Method,Model,Log Fitness,Precision,F1 Score,Objective Fitness,Generalization,Simplicity,Time (s)
2012,GTM-1,4,0.9675848150537844,0.35973895287723157,0.524480848753171,71.70535758283127,0.9663939618088986,0.6626506024096385,61.1236789226532
RTF,GTM-1,0,0.9966732244166485,0.8205554276778505,0.9000800454842675,95.42520600711266,0.9900676531569644,0.7391304347826086,60.76563310623169
RTF,GTM-1,1,0.9964294647667988,0.8553632775619671,0.92052328898363,94.66953150492063,0.9906267198253158,0.6603773584905661,60.0479781627655
RTF,GTM-1,2,0.9983305073217286,0.655025486300664,0.7910358429396473,94.72125025506223,0.9611061112830904,0.6428571428571429,60.01279377937317
RTF,GTM-1,3,0.9940777128614339,0.8426523619726892,0.9121230650102422,95.27786577896387,0.989715374038262,0.6888888888888889,60.3971152305603
RTF,GTM-1,4,0.9970577412497554,0.7714729922002582,0.8698781474244826,94.98025887672972,0.9821422407696447,0.7037037037037037,60.03848385810852
2017,GTM-1,0,0.9809382386272323,0.28696890919400186,0.44403689467208796,69.28789478718511,0.957921717135637,0.6808510638297872,63.28583312034607
2017,GTM-1,1,0.9810351420644758,0.2817454049851975,0.43776750291480987,70.11664873501277,0.9455363858400366,0.6799999999999999,60.83517575263977
2017,GTM-1,2,0.9809382386272323,0.3002549877365457,0.4597770152832512,69.28789478718511,0.957921717135637,0.6808510638297872,63.074020862579346
2017,GTM-1,3,0.9809382386272323,0.29918612696064417,0.4585228127701489,69.28789478718511,0.957921717135637,0.6808510638297872,60.08539319038391
2017,GTM-1,4,0.985955421450027,0.3066537246819553,0.4678087003527152,69.32390177569961,0.9634852921165472,0.6811594202898551,61.18328785896301
2020-rfp,GTM-1,0,0.9852543315797601,1.0,0.9925724033512089,93.6048218421459,0.868561036664337,0.6842105263157894,60.02447009086609
2020-rfp,GTM-1,1,0.9796712772508189,0.6637918285060442,0.7913749766371441,91.70907086628627,0.8683216619908154,0.7662337662337662,50.0929069519043
2020-rfp,GTM-1,2,0.9850354434638846,1.0,0.992461315194452,93.87375438768987,0.8826133897377139,0.6941176470588235,60.00959014892578
2020-rfp,GTM-1,3,0.962993063315932,0.5510105182003414,0.70094854902474,86.36458363942928,0.9049256168134976,0.6991150442477876,42.9653160572052
2020-rfp,GTM-1,4,0.9763162458736415,1.0,0.988016212397278,92.9785573917213,0.8981028113612533,0.6862745098039215,60.0079128742218
2020-dd,GTM-1,0,0.9852524001468456,0.9979095400988217,0.9915405792731221,93.75343811297347,0.8982008723421275,0.7011494252873564,52.896547079086304
2020-dd,GTM-1,1,0.9678320828650405,0.999904770974193,0.9836070461052716,93.15995834082528,0.8729226927479162,0.7471264367816092,56.28595185279846
2020-dd,GTM-1,2,0.9624934633486112,0.999904770974193,0.9808425111693622,92.9712138870178,0.8937450762373422,0.7349397590361446,59.07664108276367
2020-dd,GTM-1,3,0.96766913867455,0.999904770974193,0.9835228895242926,92.78976148868611,0.9031959730598841,0.7021276595744681,37.930493116378784
2020-dd,GTM-1,4,0.9727676169983862,0.9979095400988217,0.9851781980684955,93.47786305531642,0.885359400254344,0.7142857142857143,60.001991271972656
2020-id,GTM-1,0,0.9872715264021256,0.27092603920067115,0.4251757777572578,69.38098019888031,0.9049568564845093,0.6163265306122448,60.07353496551514
2020-id,GTM-1,1,0.9752716202271587,0.20493858031444379,0.33870370071127986,68.56292827884516,0.8957534585614307,0.6129032258064515,60.05255603790283
2020-id,GTM-1,2,0.9682730023931432,0.3010075376504887,0.45924831119491816,69.58639485727963,0.8696241085496462,0.6229508196721312,60.07181000709534
2020-id,GTM-1,3,0.9601581989200412,0.29271944245720594,0.44865829411662705,69.23948226518236,0.8833283538938528,0.6202531645569621,60.035649061203
2020-id,GTM-1,4,0.9725892673585255,0.2783156764312318,0.4327856264035026,69.22743062359088,0.9000024816752293,0.6173913043478261,60.04107594490051
2013-i,GTM-1,0,0.9844890136331187,0.8759579193955019,0.9270578297505572,92.07394913963446,0.9546009561489226,0.7333333333333333,60.01926898956299
2013-i,GTM-1,1,0.9693616365340072,0.9977590297917216,0.9833553604945279,94.97863049822979,0.9433530764073943,0.7777777777777779,60.04191994667053
2013-i,GTM-1,2,0.9617883014270621,0.9993389740877843,0.9802041371184597,95.36958429398663,0.9428437686435592,0.8,60.05250692367554
2013-i,GTM-1,3,0.9844890136331187,0.698337749394207,0.8170845118330355,92.07394913963446,0.9546009561489226,0.7333333333333333,60.00562930107117
2013-i,GTM-1,4,0.9726329091711335,0.7744048966044893,0.862272911291002,94.57602666439476,0.9542776462807069,0.7333333333333333,60.017756938934326
2020-pl,GTM-1,0,0.9909254807597689,0.19145648895856038,0.3209100243824494,57.18257662902506,0.9207554711280939,0.6231884057971013,60.69941997528076
2020-pl,GTM-1,1,0.9907466937309712,0.15309439678032577,0.2652077612827237,57.05152953261667,0.9155505713781271,0.6179775280898876,60.377108097076416
2020-pl,GTM-1,2,0.991075255256651,0.1537963080209429,0.2662721655746615,57.05152953261667,0.9155583999593527,0.6179775280898876,61.401217222213745
2020-pl,GTM-1,3,0.9905577170534965,0.16115598151189503,0.27721177812642744,56.75831716441252,0.9152038783203728,0.6183908045977011,60.94212818145752
2020-pl,GTM-1,4,0.9907466937309712,0.1536843863238322,0.2660925594944846,57.05864116873903,0.9155505713781271,0.6179775280898876,61.34781098365784
2013-op,GTM-1,0,0.9756730056804149,0.9970243630277106,0.9862331368636561,96.29376586437532,0.9624635631543691,0.8181818181818181,2.100411891937256
2013-op,GTM-1,1,0.9737892496008516,0.9970243630277106,0.9852698399130699,95.6493084770382,0.9550940235716442,0.7599999999999999,2.0094058513641357
2013-op,GTM-1,2,0.9737892496008516,0.9970243630277106,0.9852698399130699,95.6493084770382,0.9550940235716442,0.7599999999999999,2.076185941696167
2013-op,GTM-1,3,0.9933440903590158,0.969794863511549,0.9814282321996461,95.41958579190825,0.9631121374686911,0.7142857142857143,1.81003999710083
2013-op,GTM-1,4,0.9756730056804149,0.9970243630277106,0.9862331368636561,96.29376586437532,0.9624635631543691,0.8181818181818181,2.5143930912017822
2019,GTM-1,0,0.9953570054188883,0.41253566316044576,0.5833118837478174,67.54341772282051,0.9324142563348866,0.6181229773462784,61.86687707901001
2019,GTM-1,1,0.9958175888879984,0.42776591027962396,0.5984570875290506,67.18840052375576,0.9346394979760482,0.6222910216718266,63.164483070373535
2019,GTM-1,2,0.9979986352015198,0.41948343421594425,0.5906866885578412,66.00677997322418,0.9338535177219798,0.6142433234421365,60.45270085334778
2019,GTM-1,3,0.9965027036882118,0.44041532011109685,0.6108560822085061,67.26213833296451,0.92986529095434,0.607717041800643,64.2578558921814
2019,GTM-1,4,0.9966277027010523,0.42292169278551595,0.5938440415577031,67.35268703952993,0.9308806120478532,0.6075949367088607,61.85800004005432
2013-cp,GTM-1,0,0.9294330518697226,0.9700703046534985,0.949316989291954,95.64368101801894,0.939274697416565,0.7777777777777779,4.844379186630249
2013-cp,GTM-1,1,0.9430601518395951,0.9700703046534985,0.9563745595044977,95.8357799822341,0.943516299642198,0.8,5.505462169647217
2013-cp,GTM-1,2,0.9828956294214556,0.9631001778304683,0.9728972199805422,95.62514778440612,0.9435572822315667,0.8,4.29101300239563
2013-cp,GTM-1,3,0.9430601518395951,0.9700703046534985,0.9563745595044977,95.8357799822341,0.943516299642198,0.8,5.924469947814941
2013-cp,GTM-1,4,0.9430601518395951,0.9700703046534985,0.9563745595044977,95.8357799822341,0.943516299642198,0.8,4.724272966384888
