Dataset,model,Replay Fitness,Precision,F1 Score,Objective Fitness,Generalization,Simplicity,Refined Simplicity,time
2019,3,0.9966974130586792,0.4382611493977197,0.6088172373438876,65.01416939721139,0.9288211140104854,0.605263157894737,0.29,300.62905979156494
2019,4,0.9953054339327674,0.4676104509984333,0.6362843245281744,66.68222059957793,0.935930721464626,0.6081081081081081,0.3,301.13853311538696
2020-pl,0,0.8136954395018328,0.9791436464088398,0.8887855312406597,73.86760542976072,0.8428612257157941,0.6349809885931559,0.0,300.16894793510437
2020-pl,1,0.8848382844097435,0.3510582573537837,0.5026792707447048,64.80180842436886,0.8886525431870622,0.6363636363636362,0.0,300.2733910083771
2020-pl,2,0.9073065625780544,0.4730704458072511,0.6218879587754425,65.43890011063051,0.8011197355080769,0.6483516483516484,0.0,300.1958329677582
2020-pl,3,0.8698179112866191,0.9841732611411912,0.9234688310073964,71.76596795824086,0.811713187474717,0.6462346760070052,0.0,300.0994379520416
2020-pl,4,0.866886834585854,0.4001397398688595,0.5475431683604689,70.31619337527613,0.8429817870670804,0.6437246963562754,0.0,300.3808560371399
2020-rfp,0,0.9824158569839442,1.0,0.9911299423104856,93.49498639758431,0.8651747471264621,0.6774193548387096,0.76,75.25946426391602
2020-rfp,1,0.9489079782157094,0.9980123139574344,0.9728409025052271,91.7328271530379,0.90156046994432,0.7647058823529413,0.6699999999999999,72.69612073898315
2020-rfp,2,0.9519512501395244,1.0,0.9753842469902664,91.22648812681092,0.9095154228509108,0.652892561983471,0.71,45.22554612159729
2020-rfp,3,0.9503879638944682,0.9994174191669094,0.974286248601257,91.756822730515,0.8962848958404765,0.7254901960784313,0.7,70.30642986297607
2020-rfp,4,0.9562184747728828,0.7740945527659462,0.8555717963109879,85.50828217158791,0.8819139270012099,0.768421052631579,0.6799999999999999,45.18516206741333
2013-i,0,0.9688788901387326,0.9977590297917216,0.9831069070860664,95.3077498834469,0.9325949934595732,0.7931034482758622,0.9,92.10453987121582
2013-i,1,0.9593166889032168,0.9652639204870422,0.9622811157935738,94.57029358858316,0.9475542114998228,0.8181818181818181,0.92,94.89983010292052
2013-i,2,0.9593166889032168,0.9652639204870422,0.9622811157935738,94.57029358858316,0.9475542114998228,0.8181818181818181,0.92,106.02553606033324
2013-i,3,0.9708700560361244,0.978449817583518,0.9746452001865782,95.00066208666934,0.9565172888860632,0.7931034482758622,0.9,78.90347504615784
2013-i,4,0.9593166889032168,0.9652639204870422,0.9622811157935738,94.57029358858316,0.9475542114998228,0.8181818181818181,0.92,137.41351914405823
2013-cp,0,0.9430601518395952,0.9700703046534984,0.9563745595044976,95.8357799822341,0.943516299642198,0.8,0.93,6.306887865066528
2013-cp,1,0.9828956294214556,0.9631001778304684,0.9728972199805422,95.62514778440612,0.9435572822315668,0.8,0.93,4.3727569580078125
2013-cp,2,0.9430601518395952,0.9700703046534984,0.9563745595044976,95.8357799822341,0.943516299642198,0.8,0.93,4.240090847015381
2013-cp,3,0.9430601518395952,0.9700703046534984,0.9563745595044976,95.8357799822341,0.943516299642198,0.8,0.93,4.978436231613159
2013-cp,4,0.9430601518395952,0.9700703046534984,0.9563745595044976,95.8357799822341,0.943516299642198,0.8,0.93,5.877231121063232
Sepsis,0,0.9766348708138954,0.9776297001427892,0.9771320322666204,92.9900865696651,0.9427262293831924,0.7297297297297298,0.77,108.83922410011292
Sepsis,1,0.9869236340226926,0.9961032635168048,0.9914922020590374,94.43602723561064,0.94285743158222,0.7230769230769232,0.81,128.2009620666504
Sepsis,2,0.9867100325243932,0.9943181818181818,0.9904994976025652,94.14908370930652,0.9467476847211328,0.6901408450704225,0.81,190.10655212402344
Sepsis,3,0.9814664163553412,0.9471750114836932,0.9640158619052708,93.10997048628772,0.9418753615968848,0.6811594202898551,0.81,128.4383602142334
Sepsis,4,0.9882289218388804,0.9943181818181818,0.9912642004524586,94.01734964243454,0.9200799464574676,0.7000000000000001,0.78,107.98792386054993
Nasa,0,0.9415996045700894,0.23531097078811358,0.3765260023730439,69.69288650140024,0.9084627950756107,0.6846473029045644,0.0,300.11213302612305
Nasa,1,0.9363986204609391,0.22858892290564992,0.3674723447135552,69.6743508564406,0.9155883221161667,0.6824034334763949,0.0,300.60578298568726
Nasa,2,0.9302726824763609,0.22858892290564992,0.36699814629844846,70.0552175180953,0.896984487922719,0.680327868852459,0.0,300.08728098869324
Nasa,3,0.9360568369386386,0.24244034335777453,0.3851310715783248,69.72500770343638,0.8974599260593763,0.6774193548387096,0.0,300.10658264160156
Nasa,4,0.9420961775708682,0.24244034335777453,0.38563964340629614,69.9924353002649,0.8968803943349741,0.6768916155419223,0.0,300.77253007888794
