Dataset,Discovery Method,Model,Log Fitness,Precision,F1 Score,Objective Fitness,Generalization,Simplicity,Time (s)
2020-ptc,GTM-30,2,0.9822280017338536,0.9993400428972116,0.9907101358917052,93.08889867090632,0.9204469327713368,0.7297297297297298,75.22179889678955
2020-ptc,GTM-30,3,0.9893987609059904,0.9993404781533388,0.9943447701829315,93.00829179326658,0.9255563506008332,0.6507936507936508,68.3296570777893
2020-ptc,GTM-30,4,0.9883326433283688,1.0,0.9941320901657076,93.14771999233136,0.915603831556689,0.5855855855855855,94.4383590221405
2013-cp,GTM-30,0,0.9430601518395952,0.9700703046534984,0.9563745595044976,95.8357799822341,0.943516299642198,0.8,7.934513092041016
2013-cp,GTM-30,1,0.9430601518395952,0.9700703046534984,0.9563745595044976,95.8357799822341,0.943516299642198,0.8,5.4561238288879395
2013-cp,GTM-30,2,0.9430601518395952,0.9700703046534984,0.9563745595044976,95.8357799822341,0.943516299642198,0.8,4.442086219787598
2013-cp,GTM-30,3,0.9430601518395952,0.9700703046534984,0.9563745595044976,95.8357799822341,0.943516299642198,0.8,6.089635848999023
2013-cp,GTM-30,4,0.9430601518395952,0.9700703046534984,0.9563745595044976,95.8357799822341,0.943516299642198,0.8,5.924994945526123
2020-rfp,GTM-30,0,0.9659407154121484,0.8177860478179967,0.8857105879298489,92.76158884197054,0.8808856231430581,0.7528089887640449,56.284428119659424
2020-rfp,GTM-30,1,0.9686872558361962,1.0,0.9840946071698402,93.43001518939616,0.8713382563587697,0.7599999999999999,47.543713092803955
2020-rfp,GTM-30,2,0.972881367764816,1.0,0.9862543016127177,93.70689537375952,0.8809721244342887,0.7777777777777779,75.43899202346802
2020-rfp,GTM-30,3,0.9781915521788764,1.0,0.9889755631616652,93.76802035938724,0.8720012204594987,0.7368421052631579,64.12837481498718
2020-rfp,GTM-30,4,0.9742091233076527,1.0,0.9869360968967988,93.5507708369192,0.8719871079709665,0.7142857142857143,63.59439301490784
2013-op,GTM-30,0,0.9737892496008516,0.9970243630277106,0.98526983991307,95.6493084770382,0.9550940235716442,0.7599999999999999,2.2628979682922363
2013-op,GTM-30,1,0.9737892496008516,0.9970243630277106,0.98526983991307,95.6493084770382,0.9550940235716442,0.7599999999999999,2.063448667526245
2013-op,GTM-30,2,0.9737892496008516,0.9970243630277106,0.98526983991307,95.6493084770382,0.9550940235716442,0.7599999999999999,2.078235149383545
2013-op,GTM-30,3,0.9737892496008516,0.9970243630277106,0.98526983991307,95.6493084770382,0.9550940235716442,0.7599999999999999,2.253319263458252
2013-op,GTM-30,4,0.9756730056804148,0.9970243630277106,0.986233136863656,96.29376586437532,0.9624635631543692,0.8181818181818181,2.042031764984131
Sepsis,GTM-30,0,0.9864621284755511,0.9943181818181818,0.9903745760405412,94.36005619444175,0.9470550762416614,0.7464788732394366,160.71765804290771
Sepsis,GTM-30,1,0.9840501680885853,0.457736516357206,0.6248298735464256,90.46954488022112,0.9143298840144052,0.7222222222222222,110.12779188156128
Sepsis,GTM-30,2,0.9764660671739298,0.9943181818181818,0.9853112688677864,94.22455541366064,0.9352485390398684,0.7692307692307694,92.45673489570618
Sepsis,GTM-30,3,0.9870091149160916,0.9943181818181818,0.9906501668845298,94.60110384099764,0.9456629388890194,0.7575757575757577,105.42384672164916
Sepsis,GTM-30,4,0.976489620510931,0.9671669793621012,0.9718059421707472,93.7440942098904,0.9386608648142571,0.7419354838709676,162.03957891464233
RTF,GTM-30,0,0.9926413809652078,0.9855694086348812,0.9890927538840957,94.8681797679474,0.9895211305485543,0.7142857142857143,202.96724796295166
RTF,GTM-30,1,0.9959493599067722,0.8118960245371871,0.8945536304227352,95.8625278275762,0.9893199729408048,0.7560975609756097,346.2370607852936
RTF,GTM-30,2,0.996172343126945,0.8816198191473532,0.9354020094784938,95.08504484992825,0.9903345743710764,0.6799999999999999,263.2753219604492
RTF,GTM-30,3,0.9956688887119864,0.8118960245371871,0.8944404779881732,95.84967933139886,0.9893200451525226,0.7560975609756097,296.51583099365234
RTF,GTM-30,4,0.9935384624890432,0.8148572600395152,0.8953704315952442,95.85075992787273,0.9897161417253908,0.7674418604651162,356.6285967826843
2012,GTM-30,0,0.9430771728420264,0.9987217399599352,0.9701021756348506,91.677201459179,0.979956944348194,0.6818181818181818,1417.3881537914276
2012,GTM-30,1,0.968297509131114,0.998296379170057,0.9830681393604946,92.31236496249852,0.9769767102421848,0.6448598130841122,1394.563141822815
2012,GTM-30,2,0.993689361385032,1.0,0.9968346931386622,93.73675285329396,0.9586153308435807,0.6237623762376238,1800.1537837982178
2012,GTM-30,3,0.944494455648368,0.9987217399599352,0.9708514659969308,91.8398544713331,0.980158513191931,0.7011494252873564,1441.4686007499697
