random_creation_rate,elite_rate,population_size,tournament_size,tournament_rate,tournament_mutation_rate,log_filtering,objective_fitness,dataset
0.16,0.36,30,0.29,0.45,0.74,0.01,-18.811921434417535,2020-pl
0.01,0.42,33,0.26,0.49,0.86,0.01,1.4428260602808627,2020-pl
0.19,0.38,30,0.21,0.53,0.84,0.0,-0.3653036697518509,2013-op
0.14,0.39,28,0.21,0.58,0.84,0.0,0.3060061087243003,2013-op
0.13,0.44,26,0.25,0.58,0.73,0.01,-0.3653036697518509,2013-op
0.03,0.46,32,0.28,0.41,0.8,0.0,-0.3653036697518509,2013-op
0.15,0.49,31,0.2,0.54,0.71,0.0,0.3060061087243003,2013-op
0.2,0.35,27,0.26,0.47,0.76,0.0,-0.3653036697518509,2013-op
0.09,0.31,33,0.22,0.55,0.85,0.0,0.12097430134596031,2013-op
0.2,0.4,33,0.28,0.48,0.71,0.01,-0.3653036697518509,2013-op
0.16,0.36,30,0.29,0.45,0.74,0.01,-0.3653036697518509,2013-op
0.01,0.42,33,0.26,0.49,0.86,0.01,-0.6045981334289185,2013-op
0.19,0.38,30,0.21,0.53,0.84,0.0,4.667070520222886,2019
0.14,0.39,28,0.21,0.58,0.84,0.0,5.249574289731487,2019
0.13,0.44,26,0.25,0.58,0.73,0.01,8.946998737980797,2019
0.03,0.46,32,0.28,0.41,0.8,0.0,5.97057744801482,2019
0.15,0.49,31,0.2,0.54,0.71,0.0,4.94548063252217,2019
0.2,0.35,27,0.26,0.47,0.76,0.0,4.489765310814464,2019
0.09,0.31,33,0.22,0.55,0.85,0.0,5.704412013778325,2019
0.2,0.4,33,0.28,0.48,0.71,0.01,4.6559859134986095,2019
0.16,0.36,30,0.29,0.45,0.74,0.01,4.5199722998205445,2019
0.01,0.42,33,0.26,0.49,0.86,0.01,5.277488802603549,2019
0.19,0.38,30,0.21,0.53,0.84,0.0,-0.1710625185061381,2013-cp
0.14,0.39,28,0.21,0.58,0.84,0.0,-0.390471057910291,2013-cp
0.13,0.44,26,0.25,0.58,0.73,0.01,-0.1710625185061381,2013-cp
0.03,0.46,32,0.28,0.41,0.8,0.0,-0.1710625185061381,2013-cp
0.15,0.49,31,0.2,0.54,0.71,0.0,-0.1710625185061381,2013-cp
0.2,0.35,27,0.26,0.47,0.76,0.0,-0.1710625185061381,2013-cp
0.09,0.31,33,0.22,0.55,0.85,0.0,-0.1710625185061381,2013-cp
0.2,0.4,33,0.28,0.48,0.71,0.01,-0.1710625185061381,2013-cp
0.16,0.36,30,0.29,0.45,0.74,0.01,-0.1710625185061381,2013-cp
0.01,0.42,33,0.26,0.49,0.86,0.01,-0.390471057910291,2013-cp
