Dataset,Discovery Method,Model,Log Fitness,Precision,F1 Score,Objective Fitness,Generalization,Simplicity,Time (s)
2020-id,GTM-5,2,0.9176440985526886,0.9156092648539779,0.9166255524136605,84.88306384776558,0.8069679499885749,0.6119402985074627,300.01741218566895
2020-id,GTM-5,3,0.9609245020967194,0.525295545628223,0.6792659827313046,81.90748855925443,0.9418599302542663,0.627906976744186,300.03122186660767
2020-id,GTM-5,4,0.9907903731525882,0.9987610345361623,0.9947597375711124,92.7738766434328,0.9339940903821975,0.5766423357664234,262.4564290046692
2013-i,GTM-5,0,0.9652320992294682,0.978502316098224,0.9718219086110651,95.00462458697953,0.9565356805434441,0.7931034482758622,32.264524936676025
2013-i,GTM-5,1,0.9652320992294682,0.978502316098224,0.9718219086110651,95.00462458697953,0.9565356805434441,0.7931034482758622,33.227426052093506
2013-i,GTM-5,2,0.9652320992294682,0.978502316098224,0.9718219086110651,95.00462458697953,0.9565356805434441,0.7931034482758622,34.66875863075256
2013-i,GTM-5,3,0.9652320992294682,0.978502316098224,0.9718219086110651,95.00462458697953,0.9565356805434441,0.7931034482758622,50.186193227767944
2013-i,GTM-5,4,0.9652320992294682,0.978502316098224,0.9718219086110651,95.00462458697953,0.9565356805434441,0.7931034482758622,31.13498592376709
2020-pl,GTM-5,0,0.9611309537430914,0.4145600144539412,0.5792673954937225,72.14007778538249,0.8991443897175517,0.6000000000000001,300.02353596687317
2020-pl,GTM-5,1,0.9359682373206017,0.41304320964772456,0.5731535128779399,68.43218549600175,0.798305243066193,0.6352705410821643,300.25849318504333
2020-pl,GTM-5,2,0.8783477794057236,0.2752486298846982,0.41914836228105434,70.4828209965153,0.8593981691520043,0.6329588014981274,300.10802364349365
2020-pl,GTM-5,3,0.9253963312127669,0.33396903413827517,0.49080866829156267,65.7337047275068,0.8342417253506293,0.63894523326572,300.12546372413635
2020-pl,GTM-5,4,0.9571616251010382,0.37490010973368026,0.538773825415489,66.14709357681457,0.7914124302347298,0.6389891696750902,300.2473919391632
2013-op,GTM-5,0,0.9413489736070382,0.9776011560693642,0.9591326326110794,95.14204358493507,0.9602984953293322,0.8,1.1118841171264648
2013-op,GTM-5,1,0.9413489736070382,0.9776011560693642,0.9591326326110794,95.14204358493507,0.9602984953293322,0.8,1.0868868827819824
2013-op,GTM-5,2,0.9413489736070382,0.9776011560693642,0.9591326326110794,95.14204358493507,0.9602984953293322,0.8,1.0949790477752686
2013-op,GTM-5,3,0.9413489736070382,0.9776011560693642,0.9591326326110794,95.14204358493507,0.9602984953293322,0.8,1.1326518058776855
2013-op,GTM-5,4,0.9413489736070382,0.9776011560693642,0.9591326326110794,95.14204358493507,0.9602984953293322,0.8,1.0916938781738281
2019,GTM-5,0,0.7083620782784357,0.9145027130458016,0.7983401277389179,74.01816318656299,0.8080348895152887,0.6969696969696969,300.0444428920746
2019,GTM-5,1,0.9208130808846025,0.4700511150890775,0.6223888956396817,77.46963775315334,0.9251340230703711,0.6061776061776062,300.1506221294403
2019,GTM-5,2,0.943655129310446,0.40514977543036756,0.5669043200837242,73.54533718758132,0.9331169074927266,0.6290322580645161,300.0720000267029
2019,GTM-5,3,0.9584682385300056,0.5378843119805825,0.6890689348055545,79.43153019295377,0.8590513584213536,0.6240601503759399,300.278608083725
2019,GTM-5,4,0.9363669755201176,0.4396479447059506,0.5983537100169124,78.02550637976046,0.9555353677136755,0.6085409252669038,300.2224500179291
2013-cp,GTM-5,0,0.9430601518395951,0.9700703046534985,0.9563745595044977,95.8357799822341,0.943516299642198,0.8,3.2901082038879395
2013-cp,GTM-5,1,0.9350449973530969,0.9631001778304683,0.9488652554124771,95.62514778440612,0.9435572822315667,0.8,2.5430870056152344
2013-cp,GTM-5,2,0.9430601518395951,0.9700703046534985,0.9563745595044977,95.8357799822341,0.943516299642198,0.8,2.5003557205200195
2013-cp,GTM-5,3,0.9430601518395951,0.9700703046534985,0.9563745595044977,95.8357799822341,0.943516299642198,0.8,4.115216970443726
2013-cp,GTM-5,4,0.9430601518395951,0.9700703046534985,0.9563745595044977,95.8357799822341,0.943516299642198,0.8,2.673539161682129
